title,rating,ratingLevel,ratingDescription,release year,user rating score,user rating size
Transformers: Robots in Disguise,TV-Y7,Suitable for children ages 7 and older,41,2016,76.89795918367346,82
Robocar Poli,TV-Y,Suitable for all ages.,10,2012,76.89795918367346,82
LEGO Bionicle: The Journey to One,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,76.89795918367346,82
Voltron: Legendary Defender,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,76.89795918367346,82
Buddy Thunderstruck,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2017,76.89795918367346,82
PokÌ©mon: XY,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,56.0,80
Power Rangers Dino Super Charge,TV-Y7,Suitable for children ages 7 and older,41,2016,76.89795918367346,82
The Deep,TV-Y7,Suitable for children ages 7 and older,41,2015,76.89795918367346,82
Skylanders Academy,TV-Y7,Suitable for children ages 7 and older,41,2016,76.89795918367346,82
Scooby-Doo 2: Monsters Unleashed,PG,"some scary action, rude humor and language",60,2004,82.0,80
The Three Musketeers,G,General Audiences. Suitable for all ages.,35,2004,76.89795918367346,82
Mickey's Twice Upon a Christmas,G,General Audiences. Suitable for all ages.,35,2004,76.89795918367346,82
The Pacifier,PG,"action violence, language and rude humor",60,2005,91.0,80
Lab Rats,TV-Y7,Suitable for children ages 7 and older,41,2016,85.0,80
Mother Goose Club,TV-Y,Suitable for all ages.,10,2016,76.89795918367346,82
Ask the StoryBots,TV-Y,Suitable for all ages.,10,2016,76.89795918367346,82
Tayo the Little Bus,TV-Y,Suitable for all ages.,10,2014,76.89795918367346,82
Chicken Run,G,General Audiences. Suitable for all ages.,35,2000,80.0,80
Spy Kids 3: Game Over,PG,action sequences and peril,60,2003,64.0,80
Lilo & Stitch 2: Stitch Has A Glitch,PG,some mild action,60,2005,85.0,80
DreamWorks Shrek's Swamp Stories,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008,56.0,80
DreamWorks Spooky Stories: Volume 2,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2011,76.89795918367346,82
Larva,TV-G,Suitable for all ages.,35,2015,76.89795918367346,82
Sid the Science Kid,TV-Y,Suitable for all ages.,10,2008,76.89795918367346,82
The Little Prince,PG,mild thematic elements,60,2015,71.0,80
Word Party,TV-Y,Suitable for all ages.,10,2016,76.89795918367346,82
Missione Hamburger,PG,"language, some comic violence and mild sex-related humor",60,1997,75.0,80
Curious George,G,General Audiences. Suitable for all ages.,35,2006,55.0,80
Secret of the Wings,G,General Audiences. Suitable for all ages.,35,2012,65.0,80
Bunk'd,TV-G,Suitable for all ages.,35,2016,61.0,80
The Lizzie McGuire Movie,PG,mild thematic elements,60,2003,76.89795918367346,82
The Very Hungry Caterpillar and Other Stories,TV-Y,Suitable for all ages.,10,1993,76.89795918367346,82
The Hero of Color City,G,General Audiences. Suitable for all ages.,35,2014,76.89795918367346,82
The Little Engine That Could,G,General Audiences. Suitable for all ages.,35,2011,76.89795918367346,82
Delhi Safari,PG,"violence and menacing action, rude humor, suggestive content and thematic elements",60,2012,76.89795918367346,82
Monster Math Squad,TV-G,Suitable for all ages.,35,2012,76.89795918367346,82
Care Bears: Welcome to Care-a-Lot,TV-Y,Suitable for all ages.,10,2012,76.89795918367346,82
Clifford's Puppy Days,TV-Y,Suitable for all ages.,10,2003,76.89795918367346,82
Dinosaur King,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2008,76.89795918367346,82
Rooster Doodle-doo,TV-G,Suitable for all ages.,35,2014,76.89795918367346,82
Worms,PG,Parental guidance suggested. May not be suitable for children.,60,2013,76.89795918367346,82
Puffin Rock,TV-Y,Suitable for all ages.,10,2016,76.89795918367346,82
The Mr. Peabody and Sherman Show,TV-Y7,Suitable for children ages 7 and older,41,2017,76.89795918367346,82
Zoobabu,TV-Y,Suitable for all ages.,10,2010,76.89795918367346,82
Gon,TV-G,Suitable for all ages.,35,2013,76.89795918367346,82
Sid the Science Kid: The Movie,TV-Y,Suitable for all ages.,10,2012,76.89795918367346,82
LEGO Jurassic World: The Indominus Escape,TV-Y7,Suitable for children ages 7 and older,41,2016,76.89795918367346,82
Atlantis: The Lost Empire,PG,action violence,60,2001,96.0,80
Tarzan & Jane,G,General Audiences. Suitable for all ages.,35,2002,76.89795918367346,82
Atlantis: Milo's Return,G,General Audiences. Suitable for all ages.,35,2003,79.0,80
Batched,G,General Audiences. Suitable for all ages.,35,2000,76.89795918367346,82
Winnie the Pooh: Springtime with Roo,G,General Audiences. Suitable for all ages.,35,2004,76.89795918367346,82
Pooh's Heffalump Movie,G,General Audiences. Suitable for all ages.,35,2005,76.89795918367346,82
Kronk's New Groove,G,General Audiences. Suitable for all ages.,35,2005,76.89795918367346,82
Corpse Bride,PG,"some scary images and action, and brief mild language",60,2005,91.0,80
Disney Animation Collection: Vol. 2: Three Little Pigs,TV-G,Suitable for all ages.,35,2009,76.89795918367346,82
Underdogs,PG,Parental guidance suggested. May not be suitable for children.,60,2013,76.89795918367346,82
Yellowbird,PG,Parental guidance suggested. May not be suitable for children.,60,2014,76.89795918367346,82
Mr. Magoo,PG,mild language and action sequences,60,1997,76.89795918367346,82
Air Bud: World Pup,G,General Audiences. Suitable for all ages.,35,2000,76.89795918367346,82
Baby's Day Out,PG,mild language and comic action,60,1994,71.0,80
Blank Check,PG,Parental guidance suggested. May not be suitable for children.,60,1994,93.0,80
Heavyweights,PG,some rude language and pranks,60,1995,74.0,80
Inspector Gadget 2,G,General Audiences. Suitable for all ages.,35,2003,76.89795918367346,82
Air Bud: Spikes Back,G,General Audiences. Suitable for all ages.,35,2003,76.89795918367346,82
D2: The Mighty Ducks,PG,some mild language and rough hockey action,60,1994,70.0,80
"Honey, I Shrunk the Kids",PG,Parental guidance suggested. May not be suitable for children.,60,1989,80.0,80
Air Buddies,PG,"some mild, rude humor",60,2006,76.89795918367346,82
Dr. Dolittle: Tail to the Chief,PG,brief mild language and some rude behavior,60,2008,76.89795918367346,82
Flicka 2,PG,some reckless behavior,60,2010,76.89795918367346,82
H2O: Just Add Water,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2009,74.0,80
Dolphin Tale,PG,some mild thematic elements,60,2011,76.89795918367346,82
Step Dogs,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2013,76.89795918367346,82
Mia and Me,TV-Y,Suitable for all ages.,10,2015,76.89795918367346,82
Russell Madness,PG,some rude humor and sports action,60,2015,76.89795918367346,82
Wiener Dog Internationals,G,General Audiences. Suitable for all ages.,35,2015,76.89795918367346,82
Pup Star,G,General Audiences. Suitable for all ages.,35,2016,76.89795918367346,82
Precious Puppies,TV-G,Suitable for all ages.,35,2003,76.89795918367346,82
Beary Tales,TV-G,Suitable for all ages.,35,2013,76.89795918367346,82
